kOsc1Wave,kOsc1Coarse,kOsc1Fine,kOsc1Split,kOsc2Wave,kOsc2Coarse,kOsc2Fine,kOsc2Split,kOscMix,kFmMode,kFmCoarse,kFmFine,kFilterEnabled,kFilterCutoff,kFilterResonance,kFilterKeyTrack,kVolEnvA,kVolEnvD,kVolEnvS,kVolEnvR,kVolEnvV,kModEnvA,kModEnvD,kModEnvS,kModEnvR,kModEnvV,kLfoAmount,kLfoFrequency,kLfoDelay,kVolEnvFm,kVolEnvCutoff,kModEnvFm,kModEnvCutoff,kLfoFm,kLfoCutoff,kVoiceMode,kGlideSpeed,kMasterVolume
1,-16,0.565643,0.002445,0,-16,0.838409,-0.019979,0.376923,1,5,0.459045,false,4776.146240,0.417068,0.400330,996.323529,998.897996,0.792084,996.752196,0.506744,954.759303,992.077066,0.382462,998.109393,0.530823,0.076071,0.375521,999.967530,-2.695313,760.498047,15.378662,5798.828125,-12.528809,-6536.376953,0,882.499874,0.223999
1,-18,-0.199646,-0.017827,5,-18,-0.767395,0.017485,0.112732,1,37,-0.537598,false,3699.133606,0.134628,0.733154,978.717747,971.812240,0.780472,971.225955,0.824188,992.766572,989.360561,0.349869,992.496896,0.466522,0.027811,5.071611,999.901053,-1.871338,7239.990234,3.519287,2887.451172,-4.313232,-5228.271484,1,853.775875,0.339462
4,20,0.334381,-0.001615,1,20,0.244568,0.001885,0.085144,1,17,-0.255768,false,520.089417,0.011459,-0.661621,954.167158,998.148770,0.745560,929.861043,0.605606,939.963405,994.038080,0.603912,954.138599,0.283279,-0.015869,3.112756,999.746849,11.618408,-7915.039063,16.995117,4922.363281,5.542236,902.099609,1,981.300153,0.467628
3,12,0.653290,-0.014913,1,12,-0.313538,-0.021824,0.519592,1,23,-0.741577,true,4205.920105,0.387634,0.638519,957.476903,969.306107,0.426453,999.008810,0.720306,990.077834,934.276207,0.845764,885.388178,0.551392,-0.038733,1.245854,999.184765,-21.521484,-7755.859375,13.893311,674.560547,-1.226074,-7608.154297,1,873.818716,0.297310
1,-13,-0.539764,-0.002107,0,-13,-0.584656,0.001393,0.111969,1,40,-0.108154,true,639.541016,0.212082,-0.724548,875.754647,989.126238,0.169907,988.782190,0.649567,988.153916,995.051396,0.833176,992.178791,0.347473,-0.055246,2.367453,999.969420,-23.187744,7611.816406,-0.421875,-883.544922,-14.997070,-63.476563,2,885.353650,0.136230
1,-13,-0.651794,0.009479,3,-13,-0.955841,-0.005404,0.918701,1,38,0.560791,false,3324.827576,0.715744,-0.250336,987.312134,982.502564,0.654205,979.320359,0.999390,977.862155,991.965532,0.807053,991.793628,0.909210,0.095734,0.102241,998.999300,17.071289,805.175781,7.096436,-3369.628906,8.851318,6905.761719,1,926.420114,0.045181
1,-6,-0.003418,-0.001588,3,-6,0.127228,-0.006204,0.958572,1,6,0.471588,false,3394.355469,0.188049,-0.441772,986.514020,957.324748,0.089828,965.106704,0.345352,960.120001,974.411947,0.161896,898.596381,0.254242,-0.069788,1.119228,999.899299,-10.944580,236.572266,11.340820,-6822.509766,-18.073975,65.185547,2,957.486086,0.356918
1,15,0.646942,0.010238,4,15,0.169861,-0.000551,0.580429,2,15,-0.417297,false,851.168823,0.433014,-0.557159,966.486752,999.841662,0.303650,948.122834,0.605103,993.703188,999.604242,0.295288,938.242171,0.696960,-0.018567,5.320216,999.853664,-22.401855,-2084.960938,-15.925781,-2411.621094,-1.177002,5661.132813,2,998.085759,0.063400
2,1,0.848328,0.005608,4,1,0.817261,-0.016811,0.886459,2,16,-0.702942,false,4470.881042,0.944260,0.876190,946.678749,992.480010,0.621094,991.495291,0.624374,945.725464,963.899300,0.342773,980.820529,0.290909,-0.040298,0.285464,998.228792,23.319580,4791.503906,-15.593262,-7432.617188,10.533691,2653.808594,1,918.124035,0.268394
2,13,-0.033722,0.013170,2,13,0.904510,-0.011288,0.469376,1,6,0.676453,true,47.518921,0.645401,-0.293243,962.764286,987.196406,0.092606,988.323307,0.952744,951.314479,942.040592,0.930405,998.237149,0.797653,0.053680,6.746973,998.646948,5.228760,1350.341797,-23.569336,-3013.427734,-14.780273,-7689.453125,1,962.600893,0.308876
3,20,0.140564,0.005709,2,20,0.336182,0.000096,0.521851,1,24,-0.194366,true,4108.264465,0.898315,0.144012,997.002042,986.539913,0.852463,978.618696,0.694626,969.340828,999.780591,0.515747,999.577123,0.863968,0.065601,8.380391,998.633162,5.731201,2404.296875,0.953613,-6493.408203,4.570313,7832.763672,1,882.734634,0.292900
4,17,-0.950653,-0.018989,4,17,-0.946869,0.000620,0.700226,0,46,-0.240845,true,6274.222717,0.902069,0.753784,996.072702,980.053204,0.127045,973.821082,0.860153,981.945231,995.934070,0.228561,976.934649,0.586990,0.057648,0.146098,999.598706,-19.604004,1481.689453,15.929443,5937.744141,-5.148926,-1104.003906,0,968.039002,0.262131
0,12,0.489319,0.020148,3,12,0.157806,0.003125,0.570526,0,1,-0.626343,false,57.381897,0.907776,-0.831696,997.573453,955.121102,0.498016,995.594352,0.258911,990.231528,944.408521,0.140488,919.678431,0.049423,-0.037054,0.912868,995.590604,-3.792480,5924.804688,18.063721,2186.279297,-23.814697,-168.457031,1,971.630512,0.321327
4,-6,0.693298,-0.009557,1,-6,-0.006775,-0.011342,0.034180,0,28,0.388947,false,1944.741516,0.779694,-0.383148,959.404363,972.420264,0.559738,974.093322,0.972992,981.255888,957.106338,0.686569,995.433951,0.761841,-0.061688,2.152727,999.460200,8.403076,3682.861328,14.723145,1772.705078,-20.707764,-771.728516,1,988.672661,0.224663
2,-4,0.570160,-0.001782,0,-4,0.389679,-0.005923,0.704956,1,25,-0.149048,true,628.338623,0.338089,0.253723,962.348488,975.241921,0.853714,987.453558,0.494751,993.691965,942.682353,0.427261,903.660243,0.883591,-0.000043,6.241070,999.128083,3.074707,3238.525391,17.638184,-348.632813,14.674805,4663.085938,1,822.036219,0.108604
4,-10,0.280243,-0.005348,3,-10,-0.635498,0.002459,0.431015,1,33,0.933960,true,7799.331055,0.938889,-0.626312,988.613466,981.370510,0.887894,956.221457,0.192688,900.219319,982.799192,0.601135,994.898243,0.203262,0.092838,0.571684,999.726343,-14.467529,-6158.935547,-22.147705,-5395.751953,3.432861,-6712.158203,2,866.703014,0.025719
0,-13,-0.242737,-0.024419,1,-13,-0.474396,0.020325,0.132645,0,32,-0.830688,false,1540.481262,0.028595,0.568359,986.275213,993.798627,0.217880,986.737757,0.040527,968.622464,926.868253,0.734955,981.530424,0.366013,-0.013586,0.490688,999.237558,-0.278320,6553.466797,12.685547,-5441.162109,-15.958740,3093.994141,1,981.887628,0.393379
3,-19,-0.679352,-0.021149,5,-19,-0.390930,-0.021188,0.504333,0,44,-0.471466,false,6506.672363,0.938934,0.111206,978.131040,914.244456,0.298935,989.071855,0.590347,927.234544,975.376433,0.316345,933.304349,0.448593,0.085202,6.126441,998.475683,6.544922,-5576.171875,-6.175049,2287.353516,17.732666,2068.847656,0,689.959295,0.450203
4,12,-0.063934,-0.007267,0,12,-0.820068,0.000658,0.588989,1,18,-0.279999,false,1747.481995,0.381302,0.771454,976.676486,998.891627,0.038162,995.345368,0.796280,976.097211,995.250967,0.839920,991.819908,0.010818,-0.039041,0.267519,997.549473,1.077393,4641.845703,14.654297,4266.601563,12.325195,2468.017578,1,900.559332,0.008842
4,-23,-0.428131,-0.014664,5,-23,-0.924011,-0.011549,0.068710,0,1,0.716736,true,7870.198364,0.414688,-0.083954,949.454167,883.553161,0.838013,996.377617,0.394745,980.291427,953.467487,0.897980,937.425758,0.988983,-0.035428,0.606873,998.343228,18.476074,-5368.164063,-21.714111,-1890.869141,-6.843750,1114.501953,1,919.070713,0.434525
3,21,-0.999847,0.018545,4,21,0.169556,0.001659,0.585480,1,29,0.920837,true,2587.174377,0.830383,-0.272858,984.200188,995.952836,0.188583,923.366321,0.887329,959.067810,928.210187,0.483749,933.484012,0.404434,-0.019547,3.053880,999.670652,-0.196289,-1471.923828,11.230957,612.548828,-4.009277,-3775.146484,2,989.673109,0.195145
5,-11,0.163391,0.018323,1,-11,0.618835,0.010839,0.628494,2,31,0.965424,true,555.036011,0.419159,0.180176,990.640373,986.252975,0.292740,992.119674,0.695984,984.122703,957.070450,0.702850,974.494629,0.352280,0.071951,3.265478,999.923585,-19.418701,-7618.408203,6.821777,2613.037109,19.891846,1955.566406,1,816.497913,0.425186
3,-5,0.154785,-0.024591,5,-5,-0.609680,-0.023347,0.245178,1,6,0.640320,false,2851.648254,0.708374,0.717072,992.696122,964.271066,0.024078,981.963078,0.218201,999.362256,992.139395,0.496017,964.847722,0.420151,0.006885,5.595126,998.628003,5.590576,260.742188,3.123779,-750.732422,16.428223,-1159.423828,1,990.841871,0.365295
1,12,0.170990,-0.009977,4,12,0.717499,0.022155,0.951782,1,16,-0.283234,false,2729.030762,0.631378,0.464417,980.525769,981.502789,0.383621,967.421892,0.814560,996.987463,970.450403,0.008041,991.516034,0.337921,0.026910,0.490148,995.886451,-8.933350,-4825.195313,4.853760,4171.386719,13.020996,729.980469,1,908.868751,0.037544
5,17,-0.911072,0.004991,1,17,-0.907104,-0.000893,0.034195,1,28,0.529297,false,852.021179,0.573151,-0.957672,983.088659,912.148919,0.766724,989.757369,0.724777,979.071825,983.006186,0.871201,929.710842,0.815491,0.042557,0.437981,999.057989,-1.212158,2165.039063,0.833496,1546.386719,21.691406,5433.593750,1,874.576287,0.372185
1,3,-0.143402,0.016341,4,3,0.775177,0.009060,0.612671,0,19,-0.536682,false,2501.573486,0.032043,-0.803223,995.498596,969.498391,0.422714,988.111999,0.666290,982.933148,977.702737,0.350082,982.241555,0.904190,-0.079874,1.363757,999.679623,14.908447,4375.976563,-15.593994,5244.628906,-18.739746,5471.435547,1,887.931359,0.320877
3,20,-0.529785,0.012590,1,20,-0.476349,-0.007550,0.715408,0,35,0.461670,false,5614.742737,0.459229,0.900269,940.699350,972.921610,0.411575,976.696587,0.277313,970.801851,986.265405,0.769394,965.320722,0.708328,0.034747,6.655446,999.845917,20.855713,1370.605469,-12.719238,-7166.259766,-11.868896,-1576.904297,2,963.179534,0.279587
5,23,0.652130,0.019414,1,23,0.631317,0.019093,0.712051,1,38,-0.567871,true,3000.445251,0.359238,0.510925,991.687179,996.664170,0.995819,962.416577,0.545242,974.475814,985.647699,0.308762,988.592594,0.300156,0.070358,4.060266,999.729707,-6.017578,1388.183594,-0.839355,3207.519531,2.646973,-4064.208984,0,953.673553,0.390373
5,-20,0.980865,0.012231,5,-20,0.781616,0.023406,0.755173,1,44,-0.988953,true,6647.432861,0.777679,0.243225,960.853476,967.226753,0.373291,966.789113,0.218109,955.619250,972.083028,0.043228,961.343027,0.747025,-0.096823,0.348545,999.951020,-22.742432,2797.851563,-8.540039,6129.150391,-19.837646,-4449.218750,1,980.871065,0.276451
1,14,-0.316223,-0.004527,3,14,0.910278,-0.004374,0.823013,0,15,-0.383850,true,5017.119446,0.377441,0.724518,923.882670,984.394627,0.259155,935.780987,0.366928,909.709493,964.722626,0.620316,980.855409,0.482895,0.064453,4.616440,999.964089,23.298340,-62.988281,-23.102051,-1803.466797,14.576660,7823.974609,2,895.629983,0.229378
2,-13,0.084778,-0.017411,5,-13,0.510406,0.019998,0.456253,2,47,0.708160,true,2423.156738,0.362381,0.996552,972.534684,982.340324,0.921051,991.218166,0.618515,996.129098,989.941311,0.745880,933.495196,0.560135,-0.049576,1.462550,999.425509,-10.801025,2781.005859,-0.895752,7160.888672,-1.001221,2871.093750,1,990.328946,0.136803
1,3,0.771240,-0.020651,1,3,-0.218475,-0.019011,0.050476,1,46,0.941956,true,3109.059753,0.703445,-0.463470,969.918761,948.092337,0.360321,992.094741,0.342606,981.776221,987.920976,0.512589,941.832047,0.667038,-0.019089,6.279917,999.363109,-17.500488,-3649.658203,-4.163818,-2035.644531,-1.171143,7548.339844,2,954.156232,0.325119
1,18,-0.129761,-0.004694,2,18,-0.627930,-0.015656,0.134232,0,28,-0.491272,false,1574.453735,0.281052,0.247101,967.303598,963.095589,0.585709,986.057879,0.018921,988.499956,979.020427,0.967133,992.056776,0.762054,0.091122,1.809112,999.218881,-21.842285,-1218.750000,4.341064,-2739.746094,0.856934,-7116.455078,1,903.439252,0.280846
4,-12,-0.797363,-0.021928,4,-12,-0.407684,-0.014838,0.655106,0,40,-0.845398,false,1426.874390,0.225388,0.843475,974.062511,998.066665,0.787827,962.235730,0.201080,934.480959,986.734548,0.085403,911.062384,0.844162,-0.015036,0.532630,998.304665,15.022705,-447.998047,-16.571045,6924.316406,-22.878662,2083.496094,1,949.793737,0.308136
2,-12,-0.455841,0.009120,5,-12,-0.263763,0.012958,0.932648,1,22,-0.972260,false,6202.259521,0.068436,-0.281433,964.603118,984.960847,0.000656,985.308986,0.547333,961.055496,993.871911,0.737122,928.342389,0.610977,-0.076382,0.562431,999.890777,-5.269043,-3643.066406,13.063477,-6771.728516,8.178223,-689.697266,0,950.943946,0.450439
0,7,-0.615082,0.016294,5,7,0.319672,-0.020951,0.450775,1,15,0.080994,true,5005.673523,0.311081,-0.728241,990.878086,963.851231,0.839188,989.893750,0.583389,995.682979,982.718024,0.953537,999.754042,0.695694,0.050391,2.762883,998.549519,11.961914,6298.583984,-17.863037,-1038.085938,13.672852,172.363281,2,810.710025,0.326607
4,21,0.450592,-0.002785,1,21,0.992096,-0.011100,0.742081,1,18,-0.968353,true,5549.354858,0.074966,0.886200,993.718307,958.793634,0.529572,985.129703,0.361145,972.355458,986.038748,0.655441,980.378322,0.730469,-0.081607,3.010145,998.307736,-0.968994,-2814.453125,-12.383789,7044.433594,-6.902344,-4569.824219,1,928.108683,0.427872
2,-23,-0.700500,0.001968,0,-23,-0.193909,0.012487,0.860199,2,24,0.420227,false,4389.663696,0.120514,-0.080719,998.517845,988.043201,0.187790,989.587577,0.662750,999.318830,966.164593,0.035095,997.014899,0.092438,-0.025690,8.756195,998.965763,1.644287,-1718.994141,5.680664,-3909.179688,-3.829102,978.271484,1,984.930623,0.017136
5,-9,0.704681,0.003053,4,-9,-0.778259,-0.002180,0.579727,2,45,-0.495972,true,6068.074341,0.063110,0.484436,984.183858,994.066953,0.863693,917.433905,0.600204,962.829566,952.570095,0.840637,991.932081,0.320587,0.008801,4.221626,998.927278,-5.939209,789.794922,18.795410,1538.574219,-5.524658,-1630.615234,2,795.069886,0.322517
3,-10,0.773621,0.000647,2,-10,0.922974,-0.014458,0.098816,0,12,0.511688,true,4566.466675,0.809067,-0.213959,986.171047,988.866133,0.393555,981.506739,0.587357,996.318686,992.870118,0.867264,990.091896,0.290024,-0.090268,6.166343,999.277169,-21.903076,4035.888672,2.414795,-1002.685547,9.971191,-4075.683594,0,941.639714,0.292786
4,6,0.417999,0.021006,4,6,0.984222,0.018291,0.995117,0,7,-0.316437,true,556.375427,0.212982,0.950684,998.690174,995.886646,0.858856,984.736020,0.572586,985.640326,977.093365,0.107025,997.219309,0.978668,-0.028207,2.042136,999.943687,22.569580,-1339.599609,-10.855957,-7185.791016,-4.727783,5200.439453,1,840.486481,0.017448
1,8,-0.784058,0.024854,0,8,0.529022,0.014548,0.041473,2,11,-0.347870,true,2840.324097,0.919205,0.609619,998.761103,991.240748,0.920288,977.500638,0.553925,934.715874,996.882593,0.837051,976.863468,0.306091,0.094250,9.733531,999.842584,-17.854248,-3317.871094,22.416504,-4760.742188,23.099121,797.851563,1,900.316208,0.195297
5,21,-0.505676,0.005525,4,21,0.422516,-0.000456,0.919800,1,9,-0.366241,false,7564.689636,0.357224,-0.071136,992.713879,989.499087,0.804520,973.065864,0.010117,961.542849,956.437019,0.317093,985.215072,0.149124,-0.011377,2.291468,999.844279,3.849609,-4445.556641,20.581787,-5048.583984,0.879639,6847.656250,0,865.511893,0.455887
1,-5,-0.842560,0.002879,1,-5,0.969421,0.007580,0.895599,0,27,-0.985748,true,3367.567139,0.943619,-0.235901,984.628783,993.089453,0.412720,983.082724,0.470108,952.749710,990.842079,0.224930,988.541835,0.476135,0.022006,0.314472,997.811856,-10.423828,6296.386719,-21.155273,-2063.232422,-14.367920,-4303.466797,1,852.417085,0.386856
4,-7,0.247894,0.004394,2,-7,0.476044,0.008893,0.855484,1,35,0.470825,true,845.202332,0.991516,0.104187,992.332163,990.991772,0.727951,961.250526,0.401642,992.320319,999.805190,0.638733,996.546618,0.324020,0.057706,0.100148,998.838811,-18.795410,-7446.533203,-17.533447,5932.861328,-3.697998,-3750.732422,2,814.979456,0.415634
0,8,-0.424438,0.006654,4,8,0.850189,-0.016431,0.027664,0,39,-0.323273,false,5225.094299,0.916199,-0.225830,967.320332,974.171773,0.949020,975.922162,0.983246,999.675391,973.034864,0.287155,962.641628,0.482422,0.085730,1.497972,999.928612,12.145020,1237.060547,22.070068,5855.712891,-21.152344,-7095.703125,0,895.929935,0.188225
2,23,0.239960,0.006898,4,23,0.720001,-0.001924,0.490906,2,4,-0.648590,true,3302.788086,0.920670,0.872437,994.588676,986.466050,0.252548,930.120029,0.730331,919.264651,983.640391,0.600113,998.382146,0.289520,0.090390,7.468112,997.918410,14.345947,-1976.074219,-3.455566,-1081.787109,-19.778320,-3477.050781,2,960.285205,0.278908
2,6,0.322784,0.021690,1,6,-0.350922,0.023357,0.860977,1,1,0.963898,false,4447.258606,0.881226,-0.591339,991.566490,954.516660,0.320953,976.046200,0.405716,978.766246,958.805447,0.870422,981.301322,0.620895,0.054022,7.281129,996.068490,-8.681396,2854.980469,15.063721,1718.750000,0.922119,5604.980469,2,970.222665,0.454987
2,11,0.215271,0.005608,4,11,0.968689,-0.009637,0.694687,2,4,-0.495422,false,231.871338,0.949265,0.030060,999.785205,969.615593,0.025177,976.107009,0.311234,991.597246,982.266859,0.618881,998.680140,0.286926,-0.066821,1.872327,999.906512,-21.295898,-6894.775391,2.058838,-5673.828125,-0.511230,7006.591797,1,923.555167,0.484688
1,-6,0.500488,0.009092,4,-6,-0.729248,-0.019102,0.075363,1,32,-0.663971,false,7126.578674,0.146805,-0.882751,937.937515,965.913553,0.689056,996.776426,0.592422,966.028378,985.958770,0.401550,990.190111,0.113205,0.046780,1.738431,997.716061,18.696533,7452.636719,-18.515625,-2269.042969,8.013428,5006.835938,1,778.025238,0.005859
3,4,-0.023987,-0.006114,5,4,-0.461395,0.010905,0.021164,0,25,0.674469,true,7554.583130,0.831207,0.843658,953.633354,997.327041,0.625839,942.413808,0.402359,956.633505,953.672219,0.212402,994.167270,0.556732,0.039127,9.608469,999.723773,10.660400,1273.437500,12.036621,3105.712891,-2.662354,1518.554688,1,955.905186,0.282410
4,-6,-0.220215,0.003486,4,-6,-0.871368,0.004085,0.766724,1,21,0.475922,true,2347.905884,0.472321,-0.176544,987.629543,997.772213,0.502411,921.644966,0.607025,990.545545,976.888167,0.621231,993.051944,0.429504,-0.050308,0.570037,999.660422,-22.290527,-3823.974609,-5.544434,-7422.607422,22.560059,4710.205078,2,899.950411,0.361244
2,12,0.721985,-0.001448,3,12,-0.115845,0.017283,0.854950,0,47,0.312378,true,1754.666138,0.978790,-0.644989,985.892481,997.923585,0.157593,917.190541,0.814407,998.606973,990.370953,0.944809,987.665460,0.525208,0.095718,0.701500,997.641256,6.712646,7698.242188,-4.748291,831.787109,-12.927979,5372.558594,0,836.071857,0.491676
1,8,-0.124359,-0.001555,2,8,-0.330963,-0.011955,0.163742,2,19,0.241119,true,7514.278870,0.211136,-0.132324,998.776305,968.564193,0.384613,984.806797,0.987762,976.944125,998.489954,0.741501,985.692564,0.618332,-0.055743,6.469447,999.516989,18.950684,5041.503906,17.225098,-153.320313,22.516113,31.005859,2,868.576487,0.113670
1,-3,0.771271,-0.009251,3,-3,-0.706512,-0.010915,0.167496,1,4,-0.974426,true,7833.181763,0.520615,-0.448151,948.548819,939.584657,0.813721,982.718024,0.400772,969.197774,986.808272,0.861160,962.237443,0.986679,0.003027,8.117260,999.823238,-6.755127,-5254.638672,12.567627,-6281.005859,15.071045,311.035156,1,986.827929,0.363342
5,12,-0.437317,0.008753,4,12,-0.637115,-0.010939,0.667160,0,26,-0.864349,true,6994.341736,0.343246,-0.399719,977.054723,999.020697,0.207855,983.506505,0.702377,987.750096,988.052344,0.412109,984.670618,0.083740,-0.051239,7.747780,999.719925,1.621582,-6634.033203,16.674316,-1281.738281,-21.257080,-5160.400391,0,878.209263,0.334946
2,-17,-0.590424,0.002429,2,-17,-0.072235,0.024991,0.086624,1,22,0.979828,false,6466.002808,0.601089,-0.036804,966.300062,961.916889,0.990494,986.962714,0.155518,957.324748,984.090644,0.132126,981.294153,0.317734,0.039362,0.587443,999.921954,10.669922,5522.705078,-23.592773,-5332.031250,19.244385,3348.388672,2,953.327095,0.023125
